,Name of movie,Year of relase,Description,Director,Genre,Star,Watchtime,Votes,Gross collection,Movie Rating,Metascore
771,Ponyo,2008,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",G,Animation Adventure Comedy,['101 min'],101,"133,021",$15.09M,7.7,86
772,Frost/Nixon,2008,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.,R,Biography Drama History,['122 min'],122,"105,748",$18.59M,7.7,80
773,Paprika,2006,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it.",R,Animation Drama Fantasy,['90 min'],90,"76,527",$0.88M,7.7,81
774,Changeling,2008,Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.,R,Biography Crime Drama,['141 min'],141,"246,555",$35.74M,7.7,63
775,Flipped,I 2010,Two eighth-graders start to have feelings for each other despite being total opposites.,PG,Comedy Drama Romance,['90 min'],90,"86,300",$1.75M,7.7,45
776,The Girl Who Leapt Through Time,2006,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.",TV-PG,Animation Adventure Comedy,['98 min'],98,"63,135",*****,7.7,^^^^^^
777,This Is England,2006,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.",Not Rated,Crime Drama,['101 min'],101,"118,679",$0.33M,7.7,86
778,Ex Machina,2014,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,R,Drama Sci-Fi Thriller,['108 min'],108,"500,947",$25.44M,7.7,78
779,After the Wedding,2006,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret.",R,Drama,['120 min'],120,"33,532",$0.41M,7.7,78
780,The Last King of Scotland,2006,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.,R,Biography Drama History,['123 min'],123,"180,779",$17.61M,7.7,74
781,Zodiac,2007,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",R,Crime Drama Mystery,['157 min'],157,"495,500",$33.08M,7.7,78
782,Lucky Number Slevin,2006,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",R,Crime Drama Thriller,['110 min'],110,"305,697",$22.49M,7.7,53
783,Joyeux Noel,2005,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.",PG-13,Drama History Music,['116 min'],116,"28,690",$1.05M,7.7,70
784,Control,2007,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23.",R,Biography Drama Music,['122 min'],122,"63,336",$0.87M,7.7,78
785,Tangled,2010,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",PG,Animation Adventure Comedy,['100 min'],100,"422,737",$200.82M,7.7,71
786,Black Book,2006,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.",R,Drama Thriller War,['145 min'],145,"74,633",$4.40M,7.7,71
787,Brokeback Mountain,2005,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.,R,Drama Romance,['134 min'],134,"337,943",$83.04M,7.7,87
788,3:10 to Yuma,2007,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,R,Action Crime Drama,['122 min'],122,"297,765",$53.61M,7.7,76
789,Crash,I 2004,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",R,Crime Drama Thriller,['112 min'],112,"427,211",$54.58M,7.7,66
790,Kung Fu Hustle,2004,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.",R,Action Comedy Fantasy,['99 min'],99,"132,581",$17.11M,7.7,78
791,The Bourne Supremacy,2004,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",PG-13,Action Mystery Thriller,['108 min'],108,"446,163",$176.24M,7.7,73
792,The Machinist,2004,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,R,Drama Thriller,['101 min'],101,"370,640",$1.08M,7.7,61
793,Ray,I 2004,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",PG-13,Biography Drama Music,['152 min'],152,"142,804",$75.33M,7.7,73
794,Lost in Translation,2003,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,R,Comedy Drama,['102 min'],102,"432,390",$44.59M,7.7,89
795,Harry Potter and the Goblet of Fire,2005,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",PG-13,Adventure Family Fantasy,['157 min'],157,"573,492",$290.01M,7.7,81
796,Man on Fire,2004,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",R,Action Crime Drama,['146 min'],146,"340,447",$77.91M,7.7,47
797,Coraline,2009,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",PG,Animation Drama Family,['100 min'],100,"207,983",$75.29M,7.7,80
798,The Last Samurai,2003,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,R,Action Drama,['154 min'],154,"414,950",$111.11M,7.7,55
799,The Magdalene Sisters,2002,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.,R,Drama,['114 min'],114,"26,661",$4.89M,7.7,83
800,Finding Neverland,2004,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,PG,Biography Drama Family,['106 min'],106,"202,344",$51.68M,7.7,67
801,Good Bye Lenin!,2003,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",R,Comedy Drama Romance,['121 min'],121,"141,638",$4.06M,7.7,68
802,In America,2002,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.,PG-13,Drama,['105 min'],105,"42,441",$15.54M,7.7,76
803,Adaptation.,2002,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,R,Comedy Drama,['115 min'],115,"185,985",$22.25M,7.7,83
804,Black Hawk Down,2001,160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.,R,Drama History War,['144 min'],144,"376,765",$108.64M,7.7,74
805,Road to Perdition,2002,"A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",R,Crime Drama Thriller,['117 min'],117,"256,776",$104.45M,7.7,72
806,The Experiment,2001,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence.",R,Drama Thriller,['120 min'],120,"92,367",$0.14M,7.7,60
807,Billy Elliot,2000,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,R,Drama Music,['110 min'],110,"130,355",$22.00M,7.7,74
808,Hedwig and the Angry Inch,2001,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.,R,Comedy Drama Music,['95 min'],95,"34,435",$3.03M,7.7,85
809,The Count of Monte Cristo,2002,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",PG-13,Action Adventure Drama,['131 min'],131,"132,979",$54.23M,7.7,61
810,Ocean's Eleven,2001,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,PG-13,Crime Thriller,['116 min'],116,"538,536",$183.42M,7.7,74
811,Vampire Hunter D: Bloodlust,2000,"When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back.",R,Animation Action Fantasy,['103 min'],103,"30,496",$0.15M,7.7,62
812,"O Brother, Where Art Thou?",2000,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",PG-13,Adventure Comedy Crime,['107 min'],107,"298,007",$45.51M,7.7,69
813,Interstate 60: Episodes of the Road,2002,"Neal Oliver, a very confused young man and an artist, takes a journey of a lifetime on a highway I60 that doesn't exist on any of the maps, going to the places he never even heard of, searching for an answer and his dreamgirl.",R,Adventure Comedy Drama,['116 min'],116,"31,092",*****,7.7,^^^^^^
814,"South Park: Bigger, Longer & Uncut",1999,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.",R,Animation Comedy Fantasy,['81 min'],81,"198,213",$52.04M,7.7,73
815,Office Space,1999,Three company workers who hate their jobs decide to rebel against their greedy boss.,R,Comedy,['89 min'],89,"251,644",$10.82M,7.7,68
816,Happiness,1998,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",Unrated,Comedy Drama,['134 min'],134,"68,315",$2.81M,7.7,81
817,The Boondock Saints,1999,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,R,Action Crime Thriller,['108 min'],108,"232,595",$0.03M,7.7,44
818,Training Day,2001,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,R,Crime Drama Thriller,['122 min'],122,"408,553",$76.63M,7.7,69
819,Run Lola Run,1998,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",R,Crime Drama Thriller,['80 min'],80,"193,815",$7.27M,7.7,77
820,Rushmore,1998,The extracurricular king of Rushmore Preparatory School is put on academic probation.,R,Comedy Drama Romance,['93 min'],93,"175,843",$17.11M,7.7,86
821,Open Your Eyes,1997,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.",R,Drama Mystery Sci-Fi,['119 min'],119,"67,288",$0.37M,7.7,^^^^^^
822,Being John Malkovich,1999,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,R,Comedy Drama Fantasy,['113 min'],113,"323,095",$22.86M,7.7,90
823,As Good as It Gets,1997,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",PG-13,Comedy Drama Romance,['139 min'],139,"286,712",$148.48M,7.7,67
824,The Game,1997,"After a wealthy banker is given an opportunity to participate in a mysterious game, his life is turned upside down when he becomes unable to distinguish between the game and reality.",R,Drama Mystery Thriller,['129 min'],129,"368,771",$48.32M,7.7,61
825,The Fifth Element,1997,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",PG-13,Action Adventure Sci-Fi,['126 min'],126,"448,702",$63.54M,7.7,52
826,Le Dîner de Cons,1998,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise.",PG-13,Comedy,['80 min'],80,"40,039",$4.07M,7.7,73
827,Donnie Brasco,1997,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",R,Biography Crime Drama,['127 min'],127,"291,004",$41.91M,7.7,76
828,Happy Together,1997,A couple take a trip to Argentina but both men find their lives drifting apart in opposite directions.,96 min,Drama Romance,"['Drama', 'Romance']",96,"25,653",$0.19M,7.7,70
829,Shine,1996,"Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim.",PG-13,Biography Drama Music,['105 min'],105,"52,843",$35.81M,7.7,87
830,Primal Fear,1996,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep.",R,Crime Drama Mystery,['129 min'],129,"199,868",$56.12M,7.7,47
831,Hamlet,1996,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.",PG-13,Drama,['242 min'],242,"37,091",$4.41M,7.7,^^^^^^
832,Sense and Sensibility,1995,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",PG,Drama Romance,['136 min'],136,"109,010",$43.18M,7.7,84
833,A Little Princess,1995,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.,G,Drama Family Fantasy,['97 min'],97,"33,353",$10.02M,7.7,83
834,Fallen Angels,1995,"This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner.",Not Rated,Comedy Crime Drama,['99 min'],99,"32,643",*****,7.7,71
835,The Postman,1994,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",PG,Biography Comedy Drama,['108 min'],108,"35,064",$21.85M,7.7,81
836,Clerks,1994,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",R,Comedy,['92 min'],92,"216,295",$3.15M,7.7,70
837,What's Eating Gilbert Grape,1993,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,PG-13,Drama,['118 min'],118,"225,050",$9.17M,7.7,73
838,Short Cuts,1993,The day-to-day lives of several suburban Los Angeles residents.,R,Comedy Drama,['188 min'],188,"43,683",$6.11M,7.7,79
839,Philadelphia,1993,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",PG-13,Drama,['125 min'],125,"231,861",$77.32M,7.7,66
840,The Muppet Christmas Carol,1992,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,G,Comedy Drama Family,['85 min'],85,"51,836",$27.28M,7.7,64
841,Malcolm X,1992,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.",PG-13,Biography Drama History,['202 min'],202,"89,980",$48.17M,7.7,73
842,The Last of the Mohicans,1992,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,R,Action Adventure Drama,['112 min'],112,"158,712",$75.51M,7.7,76
843,Porco Rosso,1992,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.",PG,Animation Adventure Comedy,['94 min'],94,"83,061",*****,7.7,83
844,Glengarry Glen Ross,1992,An examination of the machinations behind the scenes at a real estate office.,R,Crime Drama Mystery,['100 min'],100,"100,733",$10.73M,7.7,82
845,A Few Good Men,1992,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,R,Drama Thriller,['138 min'],138,"246,829",$141.34M,7.7,62
846,Night on Earth,1991,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,R,Comedy Drama,['129 min'],129,"57,891",$2.02M,7.7,68
847,Fried Green Tomatoes,1991,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.,PG-13,Drama,['130 min'],130,"70,506",$82.42M,7.7,64
848,Barton Fink,1991,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,R,Comedy Drama Thriller,['116 min'],116,"116,908",$6.15M,7.7,69
849,Miller's Crossing,1990,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",R,Crime Drama Thriller,['115 min'],115,"130,816",$5.08M,7.7,66
850,Who Framed Roger Rabbit,1988,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,PG,Animation Adventure Comedy,['104 min'],104,"190,559",$156.45M,7.7,83
851,The Vanishing,1988,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.",Not Rated,Mystery Thriller,['107 min'],107,"36,886",*****,7.7,^^^^^^
852,The Last Emperor,1987,The story of the final Emperor of China.,PG-13,Biography Drama History,['163 min'],163,"98,499",$43.98M,7.7,76
853,Evil Dead II,1987,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.,R,Comedy Horror,['84 min'],84,"153,841",$5.92M,7.7,72
854,Empire of the Sun,1987,A young English boy struggles to survive under Japanese occupation of China during World War II.,PG,Action Drama History,['153 min'],153,"120,135",$22.24M,7.7,62
855,The Name of the Rose,1986,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,R,Crime Drama Mystery,['130 min'],130,"105,108",$7.15M,7.7,54
856,Down by Law,1986,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.",R,Comedy Crime Drama,['107 min'],107,"49,861",$1.44M,7.7,75
857,Blue Velvet,1986,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",R,Drama Mystery Thriller,['120 min'],120,"189,020",$8.55M,7.7,76
858,The Purple Rose of Cairo,1985,"In New Jersey in 1935, a movie character walks off the screen and into the real world.",PG,Comedy Fantasy Romance,['82 min'],82,"49,958",$10.63M,7.7,75
859,After Hours,I 1985,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.,R,Comedy Crime Drama,['97 min'],97,"64,283",$10.60M,7.7,90
860,Zelig,1983,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people.",PG,Comedy,['79 min'],79,"41,082",$11.80M,7.7,^^^^^^
861,The Verdict,1982,A lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.,R,Drama,['129 min'],129,"37,989",$54.00M,7.7,77
862,Star Trek II: The Wrath of Khan,1982,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",PG,Action Adventure Sci-Fi,['113 min'],113,"116,382",$78.91M,7.7,67
863,First Blood,1982,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,R,Action Adventure,['93 min'],93,"237,732",$47.21M,7.7,61
864,Ordinary People,1980,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.",R,Drama,['124 min'],124,"49,475",$54.80M,7.7,86
865,Airplane!,1980,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,PG,Comedy,['88 min'],88,"224,314",$83.40M,7.7,78
866,Halloween,1978,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",R,Horror Thriller,['91 min'],91,"243,556",$47.00M,7.7,87
867,The Tenant,1976,A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.,R,Drama Thriller,['126 min'],126,"41,989",$1.92M,7.7,71
868,Love and Death,1975,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",PG,Comedy War,['85 min'],85,"37,410",*****,7.7,89
869,The Taking of Pelham One Two Three,1974,"In New York, armed men hijack a subway car and demand a ransom for the passengers. Even if it's paid, how could they get away?",R,Action Crime Thriller,['104 min'],104,"28,754",$2.49M,7.7,68
870,Blazing Saddles,1974,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.",R,Comedy Western,['93 min'],93,"131,388",$119.50M,7.7,73
871,Serpico,1973,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,R,Biography Crime Drama,['130 min'],130,"116,561",$29.80M,7.7,87
872,Enter the Dragon,1973,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,R,Action Crime Drama,['102 min'],102,"100,766",$25.00M,7.7,83
873,Deliverance,1972,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",R,Adventure Drama Thriller,['109 min'],109,"103,268",$7.06M,7.7,80
874,The French Connection,1971,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.,R,Action Crime Drama,['104 min'],104,"115,623",$15.63M,7.7,94
875,Dirty Harry,1971,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",R,Action Crime Thriller,['102 min'],102,"148,937",$35.90M,7.7,90
876,The Odd Couple,1968,"Two friends try sharing an apartment, but their ideas of housekeeping and lifestyles are as different as night and day.",G,Comedy,['105 min'],105,"33,289",$44.53M,7.7,86
877,The Dirty Dozen,1967,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",Not Rated,Action Adventure War,['150 min'],150,"69,892",$45.30M,7.7,73
878,Belle de Jour,1967,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,R,Drama Romance,['100 min'],100,"42,315",$0.03M,7.7,^^^^^^
879,A Man for All Seasons,1966,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",G,Biography Drama History,['120 min'],120,"33,195",$28.35M,7.7,72
880,Repulsion,1965,A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.,Not Rated,Drama Horror Thriller,['105 min'],105,"51,055",*****,7.7,91
881,Zulu,1964,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,Not Rated,Drama History War,['138 min'],138,"37,655",*****,7.7,77
882,Goldfinger,1964,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",PG,Action Adventure Thriller,['110 min'],110,"179,707",$51.08M,7.7,87
883,The Birds,1963,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,PG-13,Drama Horror Mystery,['119 min'],119,"178,978",$11.40M,7.7,90
884,Cape Fear,1962,A lawyer's family is stalked by a man he once helped put in jail.,Passed,Drama Thriller,['106 min'],106,"27,754",*****,7.7,76
885,Peeping Tom,1960,"A young man murders women, using a movie camera to film their dying expressions of terror.",Not Rated,Drama Horror Thriller,['101 min'],101,"33,304",$0.08M,7.7,^^^^^^
886,The Magnificent Seven,1960,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,Approved,Action Adventure Western,['128 min'],128,"91,291",$4.91M,7.7,74
887,Les yeux sans visage,1960,A surgeon causes an accident which leaves his daughter disfigured and goes to extreme lengths to give her a new face.,Not Rated,Drama Horror,['90 min'],90,"29,388",$0.05M,7.7,90
888,Invasion of the Body Snatchers,1956,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,Approved,Drama Horror Sci-Fi,['80 min'],80,"46,985",*****,7.7,92
889,Rebel Without a Cause,1955,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",PG-13,Drama,['111 min'],111,"86,818",*****,7.7,89
890,The Ladykillers,1955,Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,Not Rated,Comedy Crime,['91 min'],91,"28,108",*****,7.7,91
891,Sabrina,1954,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",Passed,Comedy Drama Romance,['113 min'],113,"61,993",*****,7.7,72
892,The Caine Mutiny,1954,"When a U.S. Naval captain shows signs of mental instability that jeopardizes the ship, the first officer relieves him of command and faces court martial for mutiny.",Not Rated,Drama War,['124 min'],124,"26,695",$21.75M,7.7,63
893,The Day the Earth Stood Still,1951,An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.,G,Drama Sci-Fi,['92 min'],92,"79,475",*****,7.7,^^^^^^
894,Fantasia,1940,A collection of animated interpretations of great works of Western classical music.,G,Animation Family Fantasy,['125 min'],125,"91,805",$76.41M,7.7,96
895,The Invisible Man,1933,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",TV-PG,Horror Sci-Fi,['71 min'],71,"32,471",*****,7.7,87
896,Dark Waters,2019,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,PG-13,Biography Drama History,['126 min'],126,"73,232",*****,7.6,73
897,Searching,III 2018,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop.",PG-13,Drama Mystery Thriller,['102 min'],102,"151,111",$26.02M,7.6,71
898,Once Upon a Time... In Hollywood,2019,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,R,Comedy Drama,['161 min'],161,"635,741",$142.50M,7.6,83
899,Loveless,2017,A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.,R,Drama,['127 min'],127,"31,604",$0.57M,7.6,86
900,Train to Busan,2016,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",Not Rated,Action Horror Thriller,['118 min'],118,"186,290",$2.13M,7.6,72
901,The Florida Project,2017,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",R,Drama,['111 min'],111,"103,382",$5.90M,7.6,92
902,Just Mercy,2019,World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,PG-13,Biography Crime Drama,['137 min'],137,"56,110",*****,7.6,68
903,Gifted,2017,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",PG-13,Drama,['101 min'],101,"107,365",$24.80M,7.6,60
904,The Peanut Butter Falcon,2019,Zak runs away from his care home to make his dream of becoming a wrestler come true.,PG-13,Adventure Comedy Drama,['97 min'],97,"81,892",$13.12M,7.6,70
905,Victoria,II 2015,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,Not Rated,Crime Drama Romance,['138 min'],138,"55,862",*****,7.6,77
906,Guardians of the Galaxy Vol. 2,2017,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",PG-13,Action Adventure Comedy,['136 min'],136,"609,757",$389.81M,7.6,67
907,Baby Driver,2017,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",R,Action Crime Drama,['113 min'],113,"476,288",$107.83M,7.6,86
908,Only the Brave,2017,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",PG-13,Action Biography Drama,['134 min'],134,"63,518",$18.34M,7.6,72
909,Incredibles 2,2018,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,PG,Animation Action Adventure,['118 min'],118,"268,577",$608.58M,7.6,80
910,Moana,I 2016,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",PG,Animation Adventure Comedy,['107 min'],107,"296,448",$248.76M,7.6,81
911,Sicario,2015,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,R,Action Crime Drama,['121 min'],121,"393,443",$46.89M,7.6,82
912,Creed,II 2015,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",PG-13,Drama Sport,['133 min'],133,"258,124",$109.77M,7.6,82
